land_element,tsc_criteria,tsc_landform
Horseflat Land System,33,flat-claypan
Mountain peaks,1,crest-hill-crest
Mountain peaks/ridge,9,ridge
River,41,depression-river
Braided portions of river and Deep pool in river,41,depression-river
Deep pool in river,41,depression-river
Flat Lake bed,54,depression-lakebed
Perched lake,53,depression-lake
Flats with cracking-clay loam depressions,33,flat-claypan
"Valley floors, depositional floors",31,flat-valley-flat
organic mound spring,59,wetland
Hills and slopes,20,slope
"In drainage channel, permanent spring",49,drainageline
creek,43,depression-creek
Hills & dissected plateaux,6,hill
"channel braided 20-100m across, depth 15-200cm, flow none to moderate",43,depression-creek
Limestone tableland and intricately dissected bevelled ridges,4,crest-mesa
Cave system,60,cave
George,38,depression-gorge
flat,29,flat
"dunes, up to 4 m high, immediately adjacent to salt lake",2,crest-dune-crest
clay depression,33,flat-claypan
Coastal dunes,11,ridge-dune
Coastal dune,11,ridge-dune
Limestone Ridge,9,ridge
Sand dune,11,ridge-dune
perched wetland,59,wetland
slope (breakaway),21,slope-hillslope
floodplain,34,flat-floodplain
low slope,25,slope-lower-slope
"slopes, hillock",21,slope-hillslope
slope,20,slope
Ridge,9,ridge
"Ridges/hills, breakaways, side-slopes, colluvial plains and low rises, flats adjacent to salt lakes",20,slope
"Coastal sand dune, leeward slope and swale",11,ridge-dune
"Wona Land System. Basalt uplands, gilgai clay. Hills & dissected plateaux",33,flat-claypan
mounds & tidals flats,6,hill
Cheerawarra Land System,33,flat-claypan
mid to upper slopes of hill,24,slope-mid-slope
"mid to upper slopes of hill (hilltop, ridge, slope, gully)",25,slope-mid-slope
mid to upper slopes of hill. Crest and slope,26,slope-mid-slope
low ridges and colluvial flats,27,slope-mid-slope
Low ridges and colluvial flats,28,slope-mid-slope
slopes and crest,20,slope
swamp on alluvium (floodplain) adjacent to sandstone and minor scree,34,flat-floodplain
peaty swamp and permanent spring feeding a small lake at the base of a sandstone range,48,depression-swamp-open
"swamp on alluvium, adjacent to sandstone",57,depression-swamp-closed
organic mound spring.,59,wetland
A complex system of freshwater seepages and organic mound springs with internal moats,59,wetland
banded ironstone formation,,
Horseflat Land system,33,flat-claypan
Gentle slope,22,slope-simple-slope
Peat mound,6,hill
Peat Mound,6,hill
Upper slopes?,23,slope-upper-slope
Clay based wetland,59,wetland
Clay based wetland in sandy closed depression,59,wetland
swamp on alluvium,48,depression-swamp-open
swamp,48,depression-swamp-open
gilgai plain,50,depression-closed
"mid to lower coastal slopes, downslope from granite hills and outcrops",24,slope-lower-slope
hill,6,hill
lower slopes and low rises,25,slope-lower-slope
Organic mound spring or raised peat swamp,59,wetland
"mound spring, raised peaty soak or wetland",59,wetland
wetland complex containing numerous low organic mound springs with moats (estimated 6-12),59,wetland
coastal sand dune and dune swales,11,ridge-dune
peaty soaks and low peat mounds with moats,59,wetland
underground aquifer.  Geology map code Czk.,,
raised organic mound spring with moat,59,wetland
Dune swale,40,depression-swale
coastal dune and flat on landward side of coastal dune,11,ridge-dune
